'of he' | In regular: 95 | In spam: 51 | logProbRegular: -4.545867 | logProbSpam: -5.535635
'they sho' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'sho he' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he cao' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'cao off\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'savigs see' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'see how' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'how lile' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'coss freequoe' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'proecio you' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'you eed\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'the cao' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'cao kep' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'kep failig\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
're deb' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'deb help\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'pay bills' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'bills ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'remove your' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'your deb\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'come see' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'see if' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'you qualify' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'qualify for' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'for bill' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'bill payme' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'payme assisace\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'the fiacial' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'fiacial help' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'help team\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'rcfyqzi bksh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'bksh wqmirc\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'rcolrfo koldgdr\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'hhuzcpyy uwyvdc\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'phzvgddyv alrzppkgd' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'alrzppkgd lvjp\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'dawqj mfgwoc\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'jikrhqm oeqgerd' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'oeqgerd qubwszel\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'lo ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he deah' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'apparely healhy' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'healhy weyfouryearold' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'weyfouryearold was' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'was paricularly' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'paricularly uselig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'uselig ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ad ye' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ye asor' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'asor realized' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'realized ha' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ha quesio' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'quesio migh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'migh be' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'be aswered' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'week or' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'or wo' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'wo the' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'the diagnosis' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'diagnosis and' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'and misdiagnosis' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'misdiagnosis of' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'of back' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'back pain' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'pain aessuyamalmmekrcom\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'mbulacuhomailcom chuplihomailcom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'eeliaphomailcom peacockamadahomailcom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'peacockamadahomailcom gildaberardhomailcom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ajabjorhomailcom drsivacohomailcom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'drsivacohomailcom hjhoogervorshomailcom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'hjhoogervorshomailcom ieihomailcom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ieihomailcom molliardhomailcom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'live easier' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'easier a\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'or bachleors\n' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he riual' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'riual ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he roo' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'roo herbs' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'herbs or' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he bark' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'bark herbs' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'herbs as' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'well because' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he flowers' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'flowers are' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'are beauiful' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'beauiful as' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'as healig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'healig ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'remider of' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he joys' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'joys of' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'of earh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'earh the' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'the whole' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'whole rie' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'rie is' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he dead' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'dead idividual' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'idividual the' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'day hey' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'hey leared' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'leared he' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he price' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'price allah' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'allah air' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'air burs' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'burs from' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'from dods' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'dods mouh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'mouh my' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'my grip' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'grip is' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'is oo' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'oo igh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'igh aroud' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'aroud dods' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'dods abdome' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'abdome raam' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'raam buy' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'buy togeher' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'togeher today' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'cerai drama' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'drama necesiies' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'necesiies for' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'home compuer' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'compuer michiga' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'michiga we' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'we io' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'io acio' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'acio wih' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'killed ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ad wouded' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'wouded oe' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'oe resources' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'resources for' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'for eecuives' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'eecuives saffers' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'saffers doors' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'doors ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ad volueers' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'the fifh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'fifh hig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'hig is' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'also raher' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'raher speculaive' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'is possible' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'possible ha' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he alies' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'alies ha' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ha visi' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'us im' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'im lookig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'lookig io' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he hummer' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'hummer card' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'card ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'was woderig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'woderig if' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'jus uses' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'uses edied' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'edied ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'card or' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'or is' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'gimmic ivolved' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ivolved edied' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'edied our' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'our word' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'word agais' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'agais ourselves' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ourselves we' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'are usig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'usig all' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he power' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'power of' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'our creaio' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'dream ha' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ha ses' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ses us' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'us up' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'suffer for' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'our lives' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'lives clever' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'clever tomorrow' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'tomorrow aswer' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'search of' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'of career' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'career manzoor' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'manzoor ahmad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'telli surprised' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'surprised himself' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'himself by' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'by sayig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'sayig aoher' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'aoher eigh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'eigh days' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'days wih' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'wih slome' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he old' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'old mas' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'mas grea' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'grea pleasure' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'pleasure ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ad eded' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'eded up' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'up leavig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'leavig far' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'far beer' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'beer equipped' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'equipped for' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he jourey' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'jourey ahead' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'may ways' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ways the' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'the chace' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'chace meeig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'meeig was' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'was ook' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ook aligore' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'aligore cried' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'cried ooh' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ooh aak' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'aak one' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'one world' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'world calendar' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'calendar hpwwwoeworldeccomhot' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'hpwwwoeworldeccomhot should' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'should he' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he dowload' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'dowload fail' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'fail for' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ay reaso' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'reaso ell' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ell us' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ifo ghosforescom' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ghosforescom wihou' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'wihou spaces' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'spaces ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'well sed' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'sed you' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'book per' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'per email' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'email avmwmee' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'pieces mr' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'mr wes' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'wes would' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'would remid' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'remid him' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'him lord' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'lord or' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he rigs' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'rigs has' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'has coiued' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'echa ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ad amaz' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'amaz me' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'me for' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'for weeks' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'weeks ow' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'have jus' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'jus fiished' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'fiished he' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he reur' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'reur of' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'he kig' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'kig ad' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'have go' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'say wow' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'have read' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'dae who' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'who would' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'would hik' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'hik ha' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
'ha ake' | In regular: 0 | In spam: 1 | logProbRegular: -11.197530 | logProbSpam: -9.467460
